Node Name,Op Type,Activation,Weights,Bias
/model.22/m.0/Concat,Concat,UINT16,,
/model.22/m.0/cv3/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/cv3/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/cv3/act/Mul,Mul,UINT16,,
/model.22/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/cv1/act/Mul,Mul,UINT16,,
/model.22/m.1/cv2/act/Mul,Mul,UINT16,,
/model.22/m.1/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/m/m.0/cv1/act/Mul,Mul,UINT16,,
/model.22/m.1/m/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/m/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/m/m.0/cv2/act/Mul,Mul,UINT16,,
/model.22/m.1/m/m.0/Add,Add,UINT16,,
/model.22/m.1/m/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/m/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/m/m.1/cv1/act/Mul,Mul,UINT16,,
/model.22/m.1/m/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/m/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/m/m.1/cv2/act/Mul,Mul,UINT16,,
/model.22/m.1/m/m.1/Add,Add,UINT16,,
/model.22/m.1/Concat,Concat,UINT16,,
/model.22/m.1/cv3/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.1/cv3/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.1/cv3/act/Mul,Mul,UINT16,,
/model.22/Concat,Concat,UINT16,,
/model.22/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/cv2/act/Mul,Mul,UINT16,,
/model.23/cv2.2/cv2.2.0/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv2.2/cv2.2.0/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.2/cv3.2.0/cv3.2.0.0/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv2.2/cv2.2.0/act/Mul,Mul,UINT16,,
/model.23/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul,Mul,UINT16,,
/model.23/cv2.2/cv2.2.1/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv2.2/cv2.2.1/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.2/cv3.2.0/cv3.2.0.1/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv2.2/cv2.2.1/act/Mul,Mul,UINT16,,
/model.23/cv3.2/cv3.2.0/cv3.2.0.1/act/Mul,Mul,UINT16,,
/model.23/cv2.2/cv2.2.2/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.2/cv3.2.1/cv3.2.1.0/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,UINT16,,
/model.23/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.2/cv3.2.1/cv3.2.1.1/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.2/cv3.2.1/cv3.2.1.1/act/Mul,Mul,UINT16,,
/model.23/cv3.2/cv3.2.2/Conv,Conv,UINT16,INT16,INT32
/model.23/Concat_2,Concat,UINT16,,
/model.23/Reshape_2,Reshape,UINT16,,
/model.23/Concat_3,Concat,UINT16,,
/model.23/Split_output_0_0,Slice,UINT16,,
/model.23/Split_output_1_1,Slice,UINT16,,
/model.23/dfl/Reshape,Reshape,UINT16,,
/model.23/Sigmoid,Sigmoid,UINT16,,
/model.23/dfl/Transpose,Transpose,UINT16,,
/model.23/dfl/Softmax,Softmax,UINT16,,
/model.23/dfl/conv/Conv,Conv,UINT16,INT16,
/model.23/dfl/Reshape_1,Reshape,UINT16,,
/model.23/Slice,Slice,UINT16,,
/model.23/Slice_1,Slice,UINT16,,
/model.23/Sub,Sub,INT16,,
/model.23/Add_1,Add,INT16,,
/model.23/Add_2,Add,UINT16,,
/model.23/Sub_1,Sub,UINT16,,
/model.23/Div_1,Div,UINT16,,
/model.23/Concat_4,Concat,UINT16,,
/model.23/Mul_2,Mul,UINT16,,
/model.23/Concat_5,Concat,UINT16,,

Op Type,Activation,Weights,Bias
Conv,UINT16(174),INT16(174),INT32(173)
Sigmoid,UINT16(160),,
Mul,UINT16(162),,
Slice,UINT16(28),,
Add,INT16(1) UINT16(39),,
Concat,UINT16(36),,
MaxPool,UINT16(3),,
Reshape,UINT16(11),,
Transpose,UINT16(5),,
MatMul,UINT16(4),UINT16(4),
Softmax,UINT16(3),,
Resize,UINT16(2),,
Sub,INT16(1) UINT16(1),,
Div,UINT16(1),,
